Feature,Importance
no,0.9515511247957859
no2,0.04641449849898746
o3,0.0007910365455460045
pm10,0.0002678222701924349
nv10,0.0002564328183463602
air_temp,0.00020006393448706992
ws,0.00013388916026139377
v10,0.00012209580511826951
pm2.5,0.00010155493452685633
nv2.5,8.259928963935199e-05
v2.5,7.888194710889654e-05
